name,Z,A,m,error
Y,39,77,76.949781,6.5e-05
Y,39,78,77.94361,0.00043
Y,39,79,78.937351299,0.000483178
Y,39,80,79.934354715,6.885e-06
Y,39,81,80.929454173,6.015e-06
Y,39,82,81.92693002,6.112e-06
Y,39,83,82.922483863,2.0063e-05
Y,39,84,83.920670968,4.806e-06
Y,39,85,84.916433039,2.036e-05
Y,39,86,85.914885948,1.5226e-05
Y,39,87,86.910876106,1.674e-06
Y,39,88,87.909501531,1.989e-06
Y,39,89,88.905839834,2.646e-06
Y,39,90,89.907143428,2.646e-06
Y,39,91,90.907296273,3.061e-06
Y,39,92,91.908944182,9.928e-06
Y,39,93,92.909576914,1.1397e-05
Y,39,94,93.911590463,7.648e-06
Y,39,95,94.912814101,7.492e-06
Y,39,96,95.915893495,7.033e-06
Y,39,97,96.918270732,7.677e-06
Y,39,98,97.922378718,8.907e-06
Y,39,99,98.924144549,7.583e-06
Y,39,100,99.927711235,1.2292e-05
Y,39,101,100.930144222,8.053e-06
Y,39,102,101.934283,0.000215
Y,39,103,102.937197,0.000106
Y,39,104,103.94196,0.00043
Y,39,105,104.94544,0.00054
Y,39,106,105.95056,0.00054
Y,39,107,106.95452,0.00054
Y,39,108,107.95996,0.00064
Zr,40,78,77.95566,0.00054
Zr,40,79,78.94948,0.00043
Zr,40,80,79.9404,0.0016
Zr,40,81,80.937308446,0.000176779
Zr,40,82,81.931353,0.000215
Zr,40,83,82.929240763,7.082e-06
Zr,40,84,83.923325505,6.112e-06
Zr,40,85,84.921443046,7.082e-06
Zr,40,86,85.916296762,3.861e-06
Zr,40,87,86.914816517,4.745e-06
Zr,40,88,87.910220049,6.029e-06
Zr,40,89,88.908881188,3.902e-06
Zr,40,90,89.904696939,2.396e-06
Zr,40,91,90.905638346,2.374e-06
Zr,40,92,91.905033433,2.373e-06
Zr,40,93,92.906468683,2.366e-06
Zr,40,94,93.906309036,2.44e-06
Zr,40,95,94.908036647,2.384e-06
Zr,40,96,95.90826809,2.672e-06
Zr,40,97,96.910947832,2.664e-06
Zr,40,98,97.912725495,9.453e-06
Zr,40,99,98.916664513,1.1407e-05
Zr,40,100,99.917997918,8.99e-06
Zr,40,101,100.921445154,9.215e-06
Zr,40,102,101.923139152,1.0155e-05
Zr,40,103,102.927187138,1.0252e-05
Zr,40,104,103.929432125,1.0348e-05
Zr,40,105,104.934004611,1.327e-05
Zr,40,106,105.93662,0.00032
Zr,40,107,106.94174,0.00032
Zr,40,108,107.94487,0.00043
Zr,40,109,108.95041,0.00054
Zr,40,110,109.95396,0.00064
Nb,41,81,80.9493,0.00043
Nb,41,82,81.94396,0.00032
Nb,41,83,82.937292344,0.000322141
Nb,41,84,83.93449,0.000322
Nb,41,85,84.928845838,4.4e-06
Nb,41,86,85.925781388,6.112e-06
Nb,41,87,86.92069233,7.472e-06
Nb,41,88,87.918222222,5.5648e-05
Nb,41,89,88.913418245,2.8771e-05
Nb,41,90,89.911257368,4.917e-06
Nb,41,91,90.906988822,3.965e-06
Nb,41,92,91.90718681,2.907e-06
Nb,41,93,92.906371673,2.427e-06
Nb,41,94,93.907277506,2.427e-06
Nb,41,95,94.906831005,1.668e-06
Nb,41,96,95.908095905,3.784e-06
Nb,41,97,96.908093553,2.415e-06
Nb,41,98,97.910323116,5.996e-06
Nb,41,99,98.911614948,1.3058e-05
Nb,41,100,99.914324135,8.966e-06
Nb,41,101,100.915311979,4.534e-06
Nb,41,102,101.918073552,3.793e-06
Nb,41,103,102.919459008,4.711e-06
Nb,41,104,103.922888925,3.937e-06
Nb,41,105,104.924948284,4.801e-06
Nb,41,106,105.928933548,4.89e-06
Nb,41,107,106.931595513,8.861e-06
Nb,41,108,107.936055,0.000112
Nb,41,109,108.93904,0.00032
Nb,41,110,109.94386,0.00032
Nb,41,111,110.94737,0.00043
Nb,41,112,111.95229,0.00054
Nb,41,113,112.95639,0.00054
Mo,42,83,82.94988,0.00043
Mo,42,84,83.94149,0.00043
Mo,42,85,84.938260738,1.7e-05
Mo,42,86,85.931174817,4e-06
Mo,42,87,86.928198287,4.2e-06
Mo,42,88,87.921967781,4.1e-06
Mo,42,89,88.919468151,4.2e-06
Mo,42,90,89.913929419,6.528e-06
Mo,42,91,90.911745499,1.1975e-05
Mo,42,92,91.906806296,3.999e-06
Mo,42,93,92.906807914,3.999e-06
Mo,42,94,93.905083524,1.591e-06
Mo,42,95,94.905837386,1.589e-06
Mo,42,96,95.904674734,1.588e-06
Mo,42,97,96.906016735,1.596e-06
Mo,42,98,97.90540344,1.597e-06
Mo,42,99,98.907707149,1.603e-06
Mo,42,100,99.907473552,2.137e-06
Mo,42,101,100.910343218,2.138e-06
Mo,42,102,101.910280781,9.248e-06
Mo,42,103,102.913075038,1.0252e-05
Mo,42,104,103.913730897,9.964e-06
Mo,42,105,104.916965049,1.0127e-05
Mo,42,106,105.918255842,1.0155e-05
Mo,42,107,106.922102228,1.0252e-05
Mo,42,108,107.924029814,1.0252e-05
Mo,42,109,108.928420455,1.2292e-05
Mo,42,110,109.930699942,2.6136e-05
Mo,42,111,110.93552,0.00021
Mo,42,112,111.9382,0.00032
Mo,42,113,112.94317,0.00032
Mo,42,114,113.94633,0.00043
Mo,42,115,114.95196,0.00043
Tc,43,85,84.95058,0.00043
Tc,43,86,85.94493,0.00032
Tc,43,87,86.938067187,4.5e-06
Tc,43,88,87.933784781,4.1e-06
Tc,43,89,88.927648651,4.1e-06
Tc,43,90,89.924075001,3.718e-06
Tc,43,91,90.918424354,3.534e-06
Tc,43,92,91.915270758,4.047e-06
Tc,43,93,92.910244289,4.141e-06
Tc,43,94,93.909652257,4.648e-06
Tc,43,95,94.907652232,5.678e-06
Tc,43,96,95.90786664,5.747e-06
Tc,43,97,96.906360621,4.695e-06
Tc,43,98,97.907211555,3.93e-06
Tc,43,99,98.906250394,1.818e-06
Tc,43,100,99.907653428,2.111e-06
Tc,43,101,100.907311191,2.5853e-05
Tc,43,102,101.90921129,1.0001e-05
Tc,43,103,102.909177635,1.0682e-05
Tc,43,104,103.911422798,2.6807e-05
Tc,43,105,104.911653349,3.791e-05
Tc,43,106,105.914359324,1.3419e-05
Tc,43,107,106.91546218,9.466e-06
Tc,43,108,107.918497274,9.56e-06
Tc,43,109,108.920257922,1.0507e-05
Tc,43,110,109.923745116,1.0317e-05
Tc,43,111,110.925902854,1.1463e-05
Tc,43,112,111.929947782,6.274e-06
Tc,43,113,112.932498,0.000106
Tc,43,114,113.93682,0.00021
Tc,43,115,114.93982,0.00032
Tc,43,116,115.94476,0.00032
Tc,43,117,116.94806,0.00043
Tc,43,118,117.95299,0.00043
Ru,44,87,86.95069,0.00043
Ru,44,88,87.9416,0.00032
Ru,44,89,88.93762,0.00032
Ru,44,90,89.930344771,4.322e-06
Ru,44,91,90.926742643,3.077e-06
Ru,44,92,91.920234375,2.917e-06
Ru,44,93,92.917107375,4.3e-06
Ru,44,94,93.911347182,4.156e-06
Ru,44,95,94.91040438,1.0322e-05
Ru,44,96,95.907588876,1.593e-06
Ru,44,97,96.907545741,3.361e-06
Ru,44,98,97.905286743,6.939e-06
Ru,44,99,98.905935826,2.13e-06
Ru,44,100,99.904216001,2.13e-06
Ru,44,101,100.905578619,2.135e-06
Ru,44,102,101.904345844,2.135e-06
Ru,44,103,102.906320378,2.139e-06
Ru,44,104,103.905428985,3.223e-06
Ru,44,105,104.907749149,3.225e-06
Ru,44,106,105.90733083,6.374e-06
Ru,44,107,106.90997358,9.466e-06
Ru,44,108,107.910189574,9.466e-06
Ru,44,109,108.913327522,9.748e-06
Ru,44,110,109.914041768,9.755e-06
Ru,44,111,110.917571454,1.0507e-05
Ru,44,112,111.918810847,1.0412e-05
Ru,44,113,112.922839663,3.8349e-05
Ru,44,114,113.924620589,1.3394e-05
Ru,44,115,114.928942576,9.5029e-05
Ru,44,116,115.93112,0.00021
Ru,44,117,116.93606,0.00021
Ru,44,118,117.93853,0.00032
Ru,44,119,118.94357,0.00032
Ru,44,120,119.94631,0.00043
Rh,45,89,88.950584,0.000385
Rh,45,90,89.94422,0.00043
Rh,45,91,90.93688,0.00043
Rh,45,92,91.932367695,4.7e-06
Rh,45,93,92.925907193,3.298e-06
Rh,45,94,93.921730655,4.6e-06
Rh,45,95,94.915896024,4.5e-06
Rh,45,96,95.914451671,1.0853e-05
Rh,45,97,96.911327837,3.8104e-05
Rh,45,98,97.910707769,1.2782e-05
Rh,45,99,98.908129393,7.456e-06
Rh,45,100,99.908118697,1.9534e-05
Rh,45,101,100.906159636,6.474e-06
Rh,45,102,101.906839562,5.293e-06
Rh,45,103,102.905500586,2.988e-06
Rh,45,104,103.906651813,2.989e-06
Rh,45,105,104.905690296,3.885e-06
Rh,45,106,105.907288528,6.373e-06
Rh,45,107,106.906751276,1.3234e-05
Rh,45,108,107.90871486,1.5185e-05
Rh,45,109,108.908737285,6.471e-06
Rh,45,110,109.911063692,2.0117e-05
Rh,45,111,110.911642707,7.673e-06
Rh,45,112,111.914402264,4.7359e-05
Rh,45,113,112.915439746,7.959e-06
Rh,45,114,113.918718534,7.6833e-05
Rh,45,115,114.920311176,8.151e-06
Rh,45,116,115.924056134,7.0361e-05
Rh,45,117,116.926035809,9.79e-06
Rh,45,118,117.93034063,2.6107e-05
Rh,45,119,118.93253,0.00021
Rh,45,120,119.93686,0.00021
Rh,45,121,120.93942,0.00032
Rh,45,122,121.94375,0.00032
Pd,46,91,90.95032,0.00054
Pd,46,92,91.94088,0.00054
Pd,46,93,92.93652,0.00043
Pd,46,94,93.929036224,4.867e-06
Pd,46,95,94.924888346,4.962e-06
Pd,46,96,95.918213689,4.773e-06
Pd,46,97,96.916471988,5.2e-06
Pd,46,98,97.912698809,4.962e-06
Pd,46,99,98.911771237,5.434e-06
Pd,46,100,99.908505561,1.9048e-05
Pd,46,101,100.908285238,5.189e-06
Pd,46,102,101.905604763,3.188e-06
Pd,46,103,102.906083533,3.094e-06
Pd,46,104,103.904032393,3.707e-06
Pd,46,105,104.905081479,3.63e-06
Pd,46,106,105.903482281,3.625e-06
Pd,46,107,106.90513003,3.626e-06
Pd,46,108,107.903895105,3.03e-06
Pd,46,109,108.905953855,3.026e-06
Pd,46,110,109.905154035,7.176e-06
Pd,46,111,110.907671515,7.189e-06
Pd,46,112,111.907328136,7.334e-06
Pd,46,113,112.910261446,7.769e-06
Pd,46,114,113.910368961,7.769e-06
Pd,46,115,114.913658838,1.467e-05
Pd,46,116,115.914297394,7.959e-06
Pd,46,117,116.917955122,8.043e-06
Pd,46,118,117.91906433,8.246e-06
Pd,46,119,118.923340648,9.112e-06
Pd,46,120,119.924519163,9.984e-06
Pd,46,121,120.92887,0.00054
Pd,46,122,121.93055,0.00043
Pd,46,123,122.93493,0.00064
Pd,46,124,123.93688,0.00054
Ag,47,93,92.95033,0.00054
Ag,47,94,93.943733,0.000689
Ag,47,95,94.93602,0.00043
Ag,47,96,95.930623945,6.4569e-05
Ag,47,97,96.923965326,0.000118204
Ag,47,98,97.921576568,4e-05
Ag,47,99,98.917645768,6.725e-06
Ag,47,100,99.916115446,5.367e-06
Ag,47,101,100.912683954,5.193e-06
Ag,47,102,101.911704535,8.774e-06
Ag,47,103,102.908963114,4.129e-06
Ag,47,104,103.908625717,5.673e-06
Ag,47,105,104.906525637,4.869e-06
Ag,47,106,105.906665443,4.648e-06
Ag,47,107,106.905092732,3.292e-06
Ag,47,108,107.905951468,3.297e-06
Ag,47,109,108.904755649,2.179e-06
Ag,47,110,109.906110586,2.178e-06
Ag,47,111,110.905294151,2.374e-06
Ag,47,112,111.907048555,2.6e-06
Ag,47,113,112.906569499,1.7949e-05
Ag,47,114,113.908823035,4.9e-06
Ag,47,115,114.908766682,1.9616e-05
Ag,47,116,115.911386816,3.5e-06
Ag,47,117,116.911774006,1.4574e-05
Ag,47,118,117.91459549,2.7e-06
Ag,47,119,118.915570299,1.5783e-05
Ag,47,120,119.918784771,4.8e-06
Ag,47,121,120.920125285,1.3e-05
Ag,47,122,121.923664451,4.1e-05
Ag,47,123,122.925337065,3.3e-05
Ag,47,124,123.928931231,0.00027
Ag,47,125,124.93083,0.00021
Ag,47,126,125.93467,0.00021
Ag,47,127,126.93691,0.00032
Ag,47,128,127.94102,0.00032
Ag,47,129,128.94357,0.00043
Ag,47,130,129.950298,0.000358
Cd,48,96,95.94034,0.00043
Cd,48,97,96.9351,0.00032
Cd,48,98,97.927405913,5.8685e-05
Cd,48,99,98.924925848,1.7e-06
Cd,48,100,99.920348818,1.799e-06
Cd,48,101,100.918586547,1.541e-06
Cd,48,102,101.914481794,1.795e-06
Cd,48,103,102.913416315,1.932e-06
Cd,48,104,103.909856226,1.805e-06
Cd,48,105,104.909463816,1.445e-06
Cd,48,106,105.906461655,1.797e-06
Cd,48,107,106.906612305,1.816e-06
Cd,48,108,107.90418351,2.232e-06
Cd,48,109,108.904986713,1.7e-06
Cd,48,110,109.903004927,1.83e-06
Cd,48,111,110.904181101,1.825e-06
Cd,48,112,111.902760801,1.807e-06
Cd,48,113,112.904404738,1.744e-06
Cd,48,114,113.903361614,1.748e-06
Cd,48,115,114.905434041,1.859e-06
Cd,48,116,115.904758931,1.803e-06
Cd,48,117,116.90722174,2.098e-06
Cd,48,118,117.906917652,2.1546e-05
Cd,48,119,118.909846946,4.047e-05
Cd,48,120,119.909868071,4e-06
Cd,48,121,120.912980924,9.0792e-05
Cd,48,122,121.913454551,4.7e-06
Cd,48,123,122.916994949,4.0144e-05
Cd,48,124,123.917661905,9.891e-06
Cd,48,125,124.921257782,6.5395e-05
Cd,48,126,125.922429506,4.5e-06
Cd,48,127,126.926531578,6.8552e-05
Cd,48,128,127.927803786,1.8e-05
Cd,48,129,128.93203,0.00021
Cd,48,130,129.93393597,0.000176807
Cd,48,131,130.94055,0.00021
Cd,48,132,131.94539,0.00032
In,49,98,97.94214,0.00021
In,49,99,98.93411,0.00021
In,49,100,99.930923655,0.000193571
In,49,101,100.92634,0.00032
In,49,102,101.924105879,5.117e-06
In,49,103,102.919881873,9.798e-06
In,49,104,103.918214541,6.2e-06
In,49,105,104.914502325,1.1e-05
In,49,106,105.913468112,1.2198e-05
In,49,107,106.910290231,1.11e-05
In,49,108,107.909697587,1.0032e-05
In,49,109,108.907150691,4.521e-06
In,49,110,109.907168131,1.253e-05
In,49,111,110.905105918,4.143e-06
In,49,112,111.905535627,4.9e-06
In,49,113,112.904059138,1.659e-06
In,49,114,113.904915265,1.65e-06
In,49,115,114.903878776,1.2e-08
In,49,116,115.905259995,2.36e-07
In,49,117,116.904515726,5.24e-06
In,49,118,117.906356682,8.324e-06
In,49,119,118.905851133,8.131e-06
In,49,120,119.907966995,4.3006e-05
In,49,121,120.907849382,2.9449e-05
In,49,122,121.910279571,5.3749e-05
In,49,123,122.910436738,2.5078e-05
In,49,124,123.913183837,3.3319e-05
In,49,125,124.913602458,3.157e-05
In,49,126,125.916463493,4.3414e-05
In,49,127,126.91745297,2.401e-05
In,49,128,127.92017055,5.2136e-05
In,49,129,128.921831173,4.1714e-05
In,49,130,129.924971876,4.1915e-05
In,49,131,130.926945624,2.1564e-05
In,49,132,131.932996267,6.4777e-05
In,49,133,132.93799,0.00032
In,49,134,133.94415,0.00043
In,49,135,134.94933,0.00054
Sn,50,100,99.938888483,0.00060187
Sn,50,101,100.93572,0.00032
Sn,50,102,101.930289494,0.000107476
Sn,50,103,102.928105222,7.5784e-05
Sn,50,104,103.923107629,6.4e-06
Sn,50,105,104.921268429,4.263e-06
Sn,50,106,105.916957404,5.465e-06
Sn,50,107,106.915713651,5.7e-06
Sn,50,108,107.911892833,5.9e-06
Sn,50,109,108.911289859,8.653e-06
Sn,50,110,109.907842791,1.479e-05
Sn,50,111,110.907738059,6e-06
Sn,50,112,111.904821807,1.813e-06
Sn,50,113,112.905173525,2.364e-06
Sn,50,114,113.902780398,1.58e-06
Sn,50,115,114.903344699,1.6e-08
Sn,50,116,115.901742835,1.03e-07
Sn,50,117,116.902954032,5.24e-07
Sn,50,118,117.901606625,5.42e-07
Sn,50,119,118.90331124,7.99e-07
Sn,50,120,119.902202063,2.366e-06
Sn,50,121,120.904242962,2.381e-06
Sn,50,122,121.903442607,2.781e-06
Sn,50,123,122.905723879,2.785e-06
Sn,50,124,123.905273581,1.492e-06
Sn,50,125,124.907783761,1.607e-06
Sn,50,126,125.907652915,1.1484e-05
Sn,50,127,126.910391348,1.0922e-05
Sn,50,128,127.910534847,2.9174e-05
Sn,50,129,128.913479,3.1e-05
Sn,50,130,129.913969121,9.626e-06
Sn,50,131,130.917045399,9.571e-06
Sn,50,132,131.917821719,6.866e-06
Sn,50,133,132.923942655,2.5e-05
Sn,50,134,133.928798822,0.00016
Sn,50,135,134.93493,0.00043
Sn,50,136,135.93956,0.00054
Sn,50,137,136.94599,0.00064
Sb,51,103,102.93969,0.00032
Sb,51,104,103.936477,0.000234
Sb,51,105,104.931450754,1.7328e-05
Sb,51,106,105.928637981,8e-06
Sb,51,107,106.924150641,4.452e-06
Sb,51,108,107.922226733,5.9e-06
Sb,51,109,108.91814089,5.654e-06
Sb,51,110,109.916854285,6.4e-06
Sb,51,111,110.913218194,9.5e-06
Sb,51,112,111.912398009,1.914e-05
Sb,51,113,112.90937462,1.8531e-05
Sb,51,114,113.909289295,2.3452e-05
Sb,51,115,114.906598,1.7203e-05
Sb,51,116,115.90679267,5.571e-06
Sb,51,117,116.90483826,9.603e-06
Sb,51,118,117.905532189,3.239e-06
Sb,51,119,118.903945529,8.268e-06
Sb,51,120,119.905079814,8.021e-06
Sb,51,121,120.903810584,3.054e-06
Sb,51,122,121.905168565,3.051e-06
Sb,51,123,122.904211755,2.338e-06
Sb,51,124,123.905933528,2.337e-06
Sb,51,125,124.90525154,2.837e-06
Sb,51,126,125.907247116,3.4192e-05
Sb,51,127,126.906922931,5.525e-06
Sb,51,128,127.909167224,2.6854e-05
Sb,51,129,128.909146664,2.2792e-05
Sb,51,130,129.911657808,1.7459e-05
Sb,51,131,130.911995112,1.1992e-05
Sb,51,132,131.914472107,1.1218e-05
Sb,51,133,132.915251659,2.7301e-05
Sb,51,134,133.920379736,4.6659e-05
Sb,51,135,134.925080277,5.1462e-05
Sb,51,136,135.93073,0.00032
Sb,51,137,136.93516,0.00043
Sb,51,138,137.94112,0.00032
Sb,51,139,138.94598,0.00054
Te,52,105,104.943572,0.00032
Te,52,106,105.937498405,0.000107944
Te,52,107,106.935011531,7.5968e-05
Te,52,108,107.929378333,6e-06
Te,52,109,108.927304534,4.704e-06
Te,52,110,109.922458091,7.058e-06
Te,52,111,110.921000594,6.9e-06
Te,52,112,111.916727855,9e-06
Te,52,113,112.915891,3e-05
Te,52,114,113.912089,3e-05
Te,52,115,114.911902,3e-05
Te,52,116,115.90846,3e-05
Te,52,117,116.908644719,1.4398e-05
Te,52,118,117.905867748,2.0397e-05
Te,52,119,118.906407166,8.542e-06
Te,52,120,119.904057681,3.36e-06
Te,52,121,120.904942367,2.7769e-05
Te,52,122,121.903041987,1.698e-06
Te,52,123,122.904268301,1.696e-06
Te,52,124,123.902815617,1.693e-06
Te,52,125,124.904428453,1.693e-06
Te,52,126,125.903309419,1.694e-06
Te,52,127,126.905224269,1.705e-06
Te,52,128,127.904461278,9.29e-07
Te,52,129,128.90659646,9.33e-07
Te,52,130,129.906222749,1.2e-08
Te,52,131,130.908522213,6.5e-08
Te,52,132,131.908555187,7.273e-06
Te,52,133,132.910955335,2.6247e-05
Te,52,134,133.911368729,1.1447e-05
Te,52,135,134.916367067,1.5999e-05
Te,52,136,135.920043439,2.65e-05
Te,52,137,136.925614,0.000129
Te,52,138,137.929409,0.000131
Te,52,139,138.93517,0.00043
Te,52,140,139.93924,0.00032
Te,52,141,140.94529,0.00043
Te,52,142,141.94965,0.00064
I,53,108,107.943481,0.000228
I,53,109,108.938083153,6.322e-06
I,53,110,109.935089033,5.427e-05
I,53,111,110.930269215,5.103e-06
I,53,112,111.928004555,1.1e-05
I,53,113,112.923650069,8.6e-06
I,53,114,113.92185,0.00032
I,53,115,114.918048,3.1e-05
I,53,116,115.916808662,0.000103695
I,53,117,116.91365,3e-05
I,53,118,117.913074,2.1213e-05
I,53,119,118.910074,3e-05
I,53,120,119.910085632,1.645e-05
I,53,121,120.907403433,5.777e-06
I,53,122,121.907587373,5.629e-06
I,53,123,122.905587117,4.046e-06
I,53,124,123.906207573,2.617e-06
I,53,125,124.904627886,1.694e-06
I,53,126,125.905622279,4.106e-06
I,53,127,126.904470953,3.928e-06
I,53,128,127.905807715,3.928e-06
I,53,129,128.904983669,3.401e-06
I,53,130,129.906670193,3.401e-06
I,53,131,130.906126305,6.9e-07
I,53,132,131.907999281,6.089e-06
I,53,133,132.907796968,5.007e-06
I,53,134,133.909744457,8.635e-06
I,53,135,134.910046307,8.023e-06
I,53,136,135.914575828,2.0151e-05
I,53,137,136.91786653,2.8806e-05
I,53,138,137.922807,0.000107
I,53,139,138.926433,0.00013
I,53,140,139.931727,0.00013
I,53,141,140.935264,0.000137
I,53,142,141.94093,0.00043
I,53,143,142.94518,0.00043
I,53,144,143.95086,0.00054
Xe,54,109,108.950703,0.00032
Xe,54,110,109.944261843,0.000108551
Xe,54,111,110.941607164,9.3018e-05
Xe,54,112,111.935556848,9.017e-06
Xe,54,113,112.93322165,7.342e-06
Xe,54,114,113.927980335,1.2e-05
Xe,54,115,114.926293949,1.3e-05
Xe,54,116,115.921581116,1.4e-05
Xe,54,117,116.920358764,1.1141e-05
Xe,54,118,117.916178683,1.1141e-05
Xe,54,119,118.915410717,1.1141e-05
Xe,54,120,119.911784273,1.2686e-05
Xe,54,121,120.911461858,1.1928e-05
Xe,54,122,121.908367661,1.1928e-05
Xe,54,123,122.908481197,1.024e-05
Xe,54,124,123.905891751,1.938e-06
Xe,54,125,124.906394213,1.984e-06
Xe,54,126,125.904297589,3.905e-06
Xe,54,127,126.905182033,4.423e-06
Xe,54,128,127.903531011,1.138e-06
Xe,54,129,128.90478086126,5.96e-09
Xe,54,130,129.90350935,1e-08
Xe,54,131,130.905084057,2.36e-07
Xe,54,132,131.90415508571,5.59e-09
Xe,54,133,132.905910751,2.576e-06
Xe,54,134,133.905394456,9.01e-07
Xe,54,135,134.907226844,4.901e-06
Xe,54,136,135.907214484,1.1e-08
Xe,54,137,136.911557815,1.18e-07
Xe,54,138,137.914143236,3.5e-06
Xe,54,139,138.918792202,2.3e-06
Xe,54,140,139.921645816,2.5e-06
Xe,54,141,140.926787182,3.1e-06
Xe,54,142,141.929973096,2.9e-06
Xe,54,143,142.935369551,5e-06
Xe,54,144,143.938945077,5.7e-06
Xe,54,145,144.944719632,1.2e-05
Xe,54,146,145.948518246,2.6e-05
Xe,54,147,146.95434,0.00043
Cs,55,112,111.950306383,9.3321e-05
Cs,55,113,112.94442701,9.426e-06
Cs,55,114,113.941296175,7.6331e-05
Cs,55,115,114.93591,0.00032
Cs,55,116,115.933368,0.000108
Cs,55,117,116.92861673,6.7e-05
Cs,55,118,117.926559523,1.369e-05
Cs,55,119,118.922377333,1.4965e-05
Cs,55,120,119.920677282,1.0702e-05
Cs,55,121,120.917229209,1.4832e-05
Cs,55,122,121.916111005,3.5577e-05
Cs,55,123,122.912996065,1.3e-05
Cs,55,124,123.912257798,8.914e-06
Cs,55,125,124.909727916,8.313e-06
Cs,55,126,125.909452006,1.3e-05
Cs,55,127,126.907417208,5.988e-06
Cs,55,128,127.90774866,5.843e-06
Cs,55,129,128.906065603,4.896e-06
Cs,55,130,129.906709283,8.971e-06
Cs,55,131,130.905464863,5.342e-06
Cs,55,132,131.906434449,2.036e-06
Cs,55,133,132.905451961,8e-09
Cs,55,134,133.906718504,1.7e-08
Cs,55,135,134.905977005,1.073e-06
Cs,55,136,135.907311262,2.025e-06
Cs,55,137,136.907089135,4.08e-07
Cs,55,138,137.911017041,9.832e-06
Cs,55,139,138.913363663,3.373e-06
Cs,55,140,139.917283038,8.805e-06
Cs,55,141,140.920042053,1.0929e-05
Cs,55,142,141.924287887,1.1373e-05
Cs,55,143,142.927347969,2.3726e-05
Cs,55,144,143.932075464,2.7125e-05
Cs,55,145,144.935527461,1.1549e-05
Cs,55,146,145.940344031,4.2478e-05
Cs,55,147,146.944156478,5.6916e-05
Cs,55,148,147.94922731,0.000617895
Cs,55,149,148.95293,0.00021
Cs,55,150,149.95817,0.00032
Cs,55,151,150.96236,0.00043
Ba,56,114,113.95065918,0.000117321
Ba,56,115,114.94737,0.00064
Ba,56,116,115.94138,0.00043
Ba,56,117,116.938316565,0.00026875
Ba,56,118,117.93304,0.00021
Ba,56,119,118.93065969,0.000214997
Ba,56,120,119.926045003,0.000322241
Ba,56,121,120.924054499,0.000152283
Ba,56,122,121.919904,3e-05
Ba,56,123,122.918781065,1.3e-05
Ba,56,124,123.915093631,1.3416e-05
Ba,56,125,124.914472941,1.1928e-05
Ba,56,126,125.911250206,1.3416e-05
Ba,56,127,126.911093826,1.2332e-05
Ba,56,128,127.908341681,5.595e-06
Ba,56,129,128.908679888,1.1735e-05
Ba,56,130,129.906320534,2.749e-06
Ba,56,131,130.906940842,2.766e-06
Ba,56,132,131.905061143,1.131e-06
Ba,56,133,132.906007365,1.065e-06
Ba,56,134,133.904508093,3.5e-07
Ba,56,135,134.90568828,3.55e-07
Ba,56,136,135.904575631,3.56e-07
Ba,56,137,136.905827046,3.64e-07
Ba,56,138,137.905246899,3.66e-07
Ba,56,139,138.908841004,3.69e-07
Ba,56,140,139.910605633,8.534e-06
Ba,56,141,140.914402957,5.739e-06
Ba,56,142,141.916429935,6.666e-06
Ba,56,143,142.920625195,7.431e-06
Ba,56,144,143.922954824,7.702e-06
Ba,56,145,144.9275184,9.1e-06
Ba,56,146,145.930283286,2.194e-05
Ba,56,147,146.9353039,2.12e-05
Ba,56,148,147.938170578,6.7718e-05
Ba,56,149,148.94292,0.00021
Ba,56,150,149.94595,0.00043
Ba,56,151,150.95108,0.00043
La,57,117,116.950085,0.00043
La,57,120,119.93807,0.00054
La,57,121,120.93301,0.00054
La,57,122,121.93071,0.00032
La,57,123,122.92624,0.00021
La,57,124,123.924574275,6.0836e-05
La,57,125,124.920816034,2.7854e-05
La,57,126,125.919512667,9.7163e-05
La,57,127,126.916375448,2.7854e-05
La,57,128,127.915585177,5.8452e-05
La,57,129,128.912692815,2.2459e-05
La,57,130,129.912368724,2.7854e-05
La,57,131,130.91007,3e-05
La,57,132,131.910118989,3.9032e-05
La,57,133,132.908218,3e-05
La,57,134,133.908514011,2.1395e-05
La,57,135,134.906976533,1.0741e-05
La,57,136,135.907635536,5.6805e-05
La,57,137,136.9064878,1.3105e-05
La,57,138,137.907115289,3.69e-06
La,57,139,138.906356626,2.448e-06
La,57,140,139.909481006,2.448e-06
La,57,141,140.910966566,4.79e-06
La,57,142,141.914092777,7.08e-06
La,57,143,142.916079645,7.872e-06
La,57,144,143.9196629,1.93e-05
La,57,145,144.9218112,1.33e-05
La,57,146,145.925872742,3.6167e-05
La,57,147,146.9284178,1.15e-05
La,57,148,147.9326794,2.09e-05
La,57,149,148.93535126,0.00021499
La,57,150,149.93929,0.00021
La,57,151,150.94215,0.00021
La,57,152,151.94661,0.00032
La,57,153,152.95001,0.00032
Ce,58,121,120.94361,0.00054
Ce,58,122,121.93806,0.00043
Ce,58,123,122.93549,0.00032
Ce,58,124,123.93062,0.00032
Ce,58,125,124.92844,0.00021
Ce,58,126,125.923971,3e-05
Ce,58,127,126.922731,6.2e-05
Ce,58,128,127.918911,3e-05
Ce,58,129,128.918102,3e-05
Ce,58,130,129.914736,3e-05
Ce,58,131,130.914430422,3.5214e-05
Ce,58,132,131.911463526,2.1968e-05
Ce,58,133,132.91151502,1.7557e-05
Ce,58,134,133.908924821,2.1886e-05
