Z1,Z2,Z3,Z4,A1,A2,A3,A4,B1 ,B2,B3,B4,B5,B6
1,1,1,1,2,2,1,3,5.5325E-02,0.18293,0.28256,0.62121,0.44865,0.61893
1,1,0,2,2,2,1,3,5.8613E-02,0.18101,0.44676,0.8682,0.61893,0.15675
